17-01-2023 10:06:11.531;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 10:11:11.553;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 10:16:11.576;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 10:21:11.598;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 10:26:11.613;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 10:31:11.635;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 10:36:11.658;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 10:41:11.681;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 10:46:11.702;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 10:51:11.721;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 10:56:11.742;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 11:01:11.763;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 11:06:11.785;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 11:11:11.810;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 11:16:11.831;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 11:21:11.852;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 11:26:11.871;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 11:31:11.896;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 11:36:11.921;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 11:41:11.944;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 11:46:11.967;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 11:51:11.989;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 11:56:12.013;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 12:01:12.033;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 12:06:12.056;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 12:11:12.077;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 12:16:12.098;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 12:21:12.119;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 12:26:12.134;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 12:31:12.160;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 12:36:12.192;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 12:41:12.208;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 12:46:12.228;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 12:51:12.245;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 12:56:12.268;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 13:01:12.286;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 13:06:12.307;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 13:11:12.328;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 13:16:12.350;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 13:21:12.372;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 13:26:12.393;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
17-01-2023 13:31:12.419;StatusLog;AC; NORMAL_OP; TV_OFF; 4; -; -; 
