03-03-2023 16:43:12.344;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:44:08.146;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:45:12.352;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:46:08.258;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:47:12.202;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:48:04.287;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:49:12.377;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:50:04.311;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:51:12.368;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:52:04.326;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:53:12.232;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:54:04.283;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:55:12.897;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:56:08.214;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:57:12.632;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:58:04.648;StatusLog;USB; NORMAL_OP; TV_ON; 0; 3; M: 0 | F: 0; 
03-03-2023 16:59:12.758;StatusLog;USB; NORMAL_OP; TV_ON_SILENT; 0; 3; M: 0 | F: 0; 
03-03-2023 16:59:12.869;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 17:04:10.059;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 17:09:10.079;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 17:14:10.100;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 17:19:10.123;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 17:24:10.139;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 17:29:10.163;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 17:34:10.186;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 17:39:10.209;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 17:44:10.227;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 17:49:10.249;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 17:54:10.264;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 17:59:10.288;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
03-03-2023 18:04:10.304;StatusLog;USB; NORMAL_OP; TV_OFF; 0; -; -; 
