27-02-2023 14:13:44.419;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 14:18:44.441;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 14:23:44.456;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 14:28:44.485;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 14:33:44.500;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 14:38:44.521;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 14:43:44.541;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 14:48:44.564;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 14:53:44.592;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 14:58:44.613;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 15:03:44.636;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 15:08:44.659;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 15:13:44.678;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 15:18:44.700;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 15:23:44.723;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 15:28:44.745;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 15:33:44.765;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 15:38:44.787;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 15:43:44.808;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 15:48:44.829;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 15:53:44.847;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 15:58:44.868;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 16:03:44.887;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 16:08:44.908;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 16:13:44.928;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 16:18:44.948;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 16:23:44.971;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 16:28:44.995;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 16:33:45.020;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 16:38:45.040;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 16:43:45.060;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 16:48:45.078;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 16:53:45.098;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 16:58:45.118;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 17:03:45.137;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 17:08:45.162;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 17:13:45.196;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 17:18:45.213;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 17:23:45.232;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 17:28:45.254;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 17:33:45.275;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 17:38:45.296;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 17:43:45.318;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 17:48:45.338;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 17:53:45.357;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 17:58:45.380;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 18:03:45.405;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 18:08:45.428;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 18:13:45.448;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 18:18:45.470;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 18:23:45.505;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 18:28:45.527;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 18:33:21.557;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; -; M: 0 | F: 0; 
27-02-2023 18:33:22.015;StatusLog;AC; NORMAL_OP; TV_ON; 0; -; M: 0 | F: 0; 
27-02-2023 18:33:29.440;StatusLog;AC; NORMAL_OP; TV_ON; 0; 1; M: 0 | F: 0; 
27-02-2023 22:13:54.130;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 22:18:53.228;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 22:23:53.248;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 22:28:53.268;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 22:33:53.290;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 22:38:53.313;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 22:43:53.334;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 22:48:53.357;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 22:53:53.379;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 22:58:53.401;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 23:03:53.423;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 23:08:53.444;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 23:13:07.225;StatusLog;AC; NORMAL_OP; TV_ON_SILENT; 0; -; M: 0 | F: 0; 
27-02-2023 23:13:10.024;StatusLog;AC; NORMAL_OP; TV_ON; 0; -; M: 0 | F: 0; 
27-02-2023 23:14:30.481;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 23:19:30.384;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 23:24:30.405;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 23:29:30.429;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 23:34:30.452;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 23:39:30.474;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 23:44:30.496;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 23:49:30.518;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 23:54:30.539;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
27-02-2023 23:59:30.560;StatusLog;AC; NORMAL_OP; TV_OFF; 0; -; -; 
